date,count,total_count,ratio
1/1/2015,373,25611,0.014564055
1/2/2015,387,31932,0.012119504
1/3/2015,289,24646,0.011726041
1/4/2015,322,25513,0.012621017
1/5/2015,567,39982,0.014181382
1/6/2015,626,42366,0.014776
1/7/2015,507,45163,0.011226004
1/8/2015,521,44928,0.011596332
1/9/2015,531,44041,0.012056947
1/10/2015,346,29093,0.011892895
1/11/2015,364,27955,0.013020926
1/12/2015,614,43457,0.014128909
1/13/2015,636,51576,0.012331317
1/14/2015,576,48413,0.011897631
1/15/2015,585,49377,0.011847621
1/16/2015,512,45452,0.011264631
1/17/2015,338,28939,0.01167974
1/18/2015,340,30206,0.011256042
1/19/2015,539,44368,0.012148395
1/20/2015,692,49347,0.014023142
1/21/2015,786,51083,0.015386724
1/22/2015,738,50193,0.014703245
1/23/2015,648,47205,0.013727359
1/24/2015,360,30089,0.011964505
1/25/2015,519,30105,0.017239661
1/26/2015,673,46099,0.014599015
1/27/2015,493,48487,0.010167674
1/28/2015,653,49770,0.013120354
1/29/2015,583,49090,0.011876146
1/30/2015,579,44670,0.012961719
1/31/2015,425,29935,0.014197428
2/1/2015,440,31250,0.01408
2/2/2015,591,46496,0.012710771
2/3/2015,535,50532,0.010587351
2/4/2015,678,49699,0.013642126
2/5/2015,616,49763,0.012378675
2/6/2015,608,45064,0.013491923
2/7/2015,569,29532,0.019267236
2/8/2015,508,31214,0.016274749
2/9/2015,741,46647,0.015885266
2/10/2015,1062,48866,0.021732902
2/11/2015,691,47312,0.014605174
2/12/2015,673,44525,0.015115104
2/13/2015,527,44469,0.011850952
2/14/2015,354,29014,0.012201006
2/15/2015,426,30365,0.01402931
2/16/2015,541,42032,0.012871146
2/17/2015,511,45812,0.011154283
2/18/2015,502,47649,0.010535373
2/19/2015,498,45210,0.011015262
2/20/2015,485,44937,0.010792888
2/21/2015,325,28889,0.011249957
2/22/2015,338,30367,0.011130504
2/23/2015,560,45148,0.01240365
2/24/2015,546,50351,0.010843876
2/25/2015,556,50482,0.011013827
2/26/2015,504,48096,0.010479042
2/27/2015,499,45288,0.011018371
2/28/2015,457,29961,0.015253162
3/1/2015,442,29731,0.014866638
3/2/2015,699,47052,0.014855904
3/3/2015,632,49086,0.012875362
3/4/2015,510,48608,0.0104921
3/5/2015,440,47250,0.009312169
3/6/2015,361,43274,0.008342192
3/7/2015,323,29097,0.011100801
3/8/2015,324,28383,0.011415284
3/9/2015,458,44765,0.010231207
3/10/2015,543,49300,0.011014199
3/11/2015,464,48071,0.009652389
3/12/2015,461,49642,0.009286491
3/13/2015,423,44449,0.009516525
3/14/2015,307,28888,0.01062725
3/15/2015,420,31120,0.013496144
3/16/2015,588,43859,0.013406598
3/17/2015,817,48949,0.016690841
3/18/2015,800,49736,0.016084928
3/19/2015,678,47424,0.014296559
