,GDPC96,JAPAN_IP,PCECTPI,GS10,GS1,TB3MS,UNRATE,EXUSUK,CPIAUCSL
1957:01,2851.778,8.414362956,16.449,3.403333333,3.39,3.096666667,3.933333333,,27.77666667
1957:02,2845.453,9.097346962,16.553,3.626666667,3.54,3.14,4.1,,28.01333333
1957:03,2873.169,9.042708242,16.687,3.926666667,3.963333333,3.353333333,4.233333333,,28.26333333
1957:04,2843.718,8.796834,16.773,3.633333333,3.586666667,3.31,4.933333333,,28.4
1958:01,2770,8.632917838,16.978,3.04,2.16,1.756666667,6.3,,28.73666667
1958:02,2788.278,8.414362956,17.009,2.923333333,1.35,0.956666667,7.366666667,,28.93
1958:03,2852.741,8.660237198,17.022,3.5,2.386666667,1.68,7.333333333,,28.91333333
1958:04,2919.47,8.960750161,17.018,3.8,3.193333333,2.69,6.366666667,,28.94333333
1959:01,2973.782,9.425179285,17.137,3.99,3.503333333,2.773333333,5.833333333,2.809506667,28.99333333
1959:02,3046.096,10.08084393,17.204,4.256666667,3.916666667,3,5.1,2.814536667,29.04333333
1959:03,3040.235,10.68186986,17.307,4.503333333,4.603333333,3.54,5.266666667,2.808283333,29.19333333
1959:04,3052.194,11.41949258,17.401,4.583333333,4.916666667,4.23,5.6,2.802463333,29.37
1960:01,3120.195,12.18443467,17.424,4.486666667,4.57,3.873333333,5.133333333,2.80297,29.39666667
1960:02,3108.361,12.67618315,17.515,4.26,3.87,2.993333333,5.233333333,2.806063333,29.57333333
1960:03,3116.104,13.22257036,17.582,3.833333333,3.073333333,2.36,5.533333333,2.810456667,29.59
1960:04,3078.384,13.85091565,17.661,3.886666667,2.993333333,2.306666667,6.266666667,2.810823333,29.78
1961:01,3099.314,14.61585773,17.694,3.786666667,2.873333333,2.35,6.8,2.801266667,29.84
1961:02,3156.922,15.1895643,17.692,3.79,2.936666667,2.303333333,7,2.793966667,29.83
1961:03,3209.561,15.8725483,17.757,3.98,3.013333333,2.303333333,6.766666667,2.800833333,29.94666667
1961:04,3274.61,16.41893551,17.777,3.973333333,3.1,2.46,6.2,2.8133,29.99
1962:01,3333.591,16.96532271,17.855,4.016666667,3.206666667,2.723333333,5.633333333,2.813633333,30.10666667
1962:02,3369.51,16.96532271,17.918,3.873333333,3.016666667,2.716666667,5.533333333,2.811466667,30.22
1962:03,3401.609,16.69212911,17.964,3.99,3.183333333,2.84,5.566666667,2.803766667,30.30666667
1962:04,3414.802,16.58285167,18.018,3.903333333,2.996666667,2.813333333,5.533333333,2.802166667,30.38
1963:01,3452.806,17.23851632,18.069,3.893333333,3.026666667,2.906666667,5.766666667,2.802933333,30.47666667
1963:02,3497.818,18.22201329,18.095,3.963333333,3.143333333,2.94,5.733333333,2.800166667,30.53333333
1963:03,3566.096,19.17819089,18.181,4.033333333,3.526666667,3.293333333,5.5,2.799366667,30.72
1963:04,3591.546,20.16168786,18.248,4.12,3.73,3.496666667,5.566666667,2.797366667,30.80333333
1964:01,3669.226,20.81735251,18.336,4.18,3.826666667,3.53,5.466666667,2.797766667,30.93
1964:02,3712.856,21.44569779,18.378,4.2,3.86,3.476666667,5.2,2.797533333,30.98
1964:03,3763.277,22.01940436,18.44,4.193333333,3.766666667,3.496666667,5,2.786566667,31.05
1964:04,3776.627,22.4018754,18.502,4.173333333,3.93,3.683333333,4.966666667,2.7863,31.19333333
1965:01,3869.782,22.4018754,18.562,4.203333333,4.01,3.89,4.9,2.792933333,31.29
1965:02,3922.689,22.21063988,18.655,4.206666667,4.02,3.873333333,4.666666667,2.7952,31.49
1965:03,4002.358,22.45651412,18.724,4.246666667,4.083333333,3.866666667,4.366666667,2.792833333,31.58333333
1965:04,4096.741,22.81166581,18.781,4.473333333,4.463333333,4.166666667,4.1,2.802966667,31.75
1966:01,4197.921,23.54928853,18.927,4.77,4.93,4.61,3.866666667,2.800533333,32.04666667
1966:02,4215.116,24.8059791,19.083,4.78,4.933333333,4.586666667,3.833333333,2.791833333,32.33666667
1966:03,4245.17,25.9807116,19.229,5.14,5.51,5.043333333,3.766666667,2.788966667,32.61666667
1966:04,4281.583,27.45595705,19.379,5.003333333,5.44,5.21,3.7,2.790933333,32.88333333
1967:01,4320.947,28.27553786,19.435,4.583333333,4.603333333,4.513333333,3.833333333,2.7938,32.96666667
1967:02,4324.696,29.53222843,19.528,4.82,4.246666667,3.66,3.833333333,2.795766667,33.16666667
1967:03,4362.001,31.03479324,19.708,5.246666667,5.126666667,4.3,3.8,2.785433333,33.5
1967:04,4397.108,32.67395486,19.877,5.643333333,5.563333333,4.753333333,3.9,2.6171,33.86666667
1968:01,4486.382,33.41157758,20.087,5.61,5.473333333,5.05,3.733333333,2.406,34.2
1968:02,4562.157,34.44971327,20.291,5.743333333,5.943333333,5.52,3.566666667,2.391866667,34.53333333
1968:03,4594.968,35.37857152,20.501,5.46,5.51,5.196666667,3.533333333,2.3895,35
1968:04,4615.388,37.07237186,20.729,5.77,5.836666667,5.586666667,3.4,2.386566667,35.43333333
1969:01,4687.098,38.19246563,20.933,6.176666667,6.363333333,6.093333333,3.4,2.390033333,35.86666667
1969:02,4702.124,39.9955434,21.201,6.353333333,6.573333333,6.196666667,3.433333333,2.3897,36.43333333
1969:03,4731.549,41.17027589,21.461,6.856666667,7.653333333,7.023333333,3.566666667,2.386566667,36.93333333
1969:04,4710.954,43.30118599,21.71,7.296666667,7.9,7.353333333,3.566666667,2.3946,37.5
1970:01,4702.809,44.85838953,21.961,7.366666667,7.553333333,7.21,4.166666667,2.403633333,38.1
1970:02,4711.143,46.2516769,22.205,7.713333333,7.453333333,6.676666667,4.766666667,2.4025,38.63333333
1970:03,4752.805,46.82538346,22.421,7.46,6.936666667,6.326666667,5.166666667,2.387866667,39.03333333
1970:04,4703.912,47.04393835,22.712,6.853333333,5.646666667,5.353333333,5.833333333,2.389433333,39.6
1971:01,4829.88,47.45372875,22.927,6.016666667,4.05,3.84,5.933333333,2.4141,39.93333333
1971:02,4857.374,46.96198027,23.188,6.246666667,4.993333333,4.25,5.9,2.418466667,40.3
1971:03,4895.258,47.69960299,23.416,6.483333333,5.75,5.01,6.033333333,2.440833333,40.7
1971:04,4909.529,47.80888043,23.562,5.89,4.726666667,4.23,5.933333333,2.503166667,41
1972:01,4997.015,48.76505804,23.811,6.033333333,4.406666667,3.436666667,5.766666667,2.597433333,41.33333333
1972:02,5112.722,49.83051309,23.949,6.143333333,4.843333333,3.77,5.7,2.597233333,41.6
1972:03,5159.837,51.22380046,24.16,6.29,5.153333333,4.22,5.566666667,2.4453,41.93333333
1972:04,5245.523,53.70986225,24.358,6.373333333,5.436666667,4.863333333,5.366666667,2.363733333,42.36666667
1973:01,5374.665,56.93354676,24.652,6.603333333,6.31,5.7,4.933333333,2.418633333,43.03333333
1973:02,5435.604,58.10827925,25.126,6.806666667,7.016666667,6.603333333,4.933333333,2.530166667,43.93333333
1973:03,5406.065,58.90054069,25.583,7.206666667,8.506666667,8.323333333,4.8,2.477166667,44.8
1973:04,5456.489,60.1299119,26.108,6.753333333,7.413333333,7.5,4.766666667,2.377866667,45.93333333
1974:01,5411.162,60.07527318,26.883,7.053333333,7.353333333,7.616666667,5.133333333,2.279833333,47.3
1974:02,5425.382,57.4526146,27.645,7.543333333,8.69,8.153333333,5.2,2.3975,48.56666667
1974:03,5372.849,55.15778834,28.391,7.963333333,9.01,8.19,5.633333333,2.350566667,49.93333333
1974:04,5351.356,52.42585232,29.114,7.67,7.673333333,7.36,6.6,2.3292,51.46666667
1975:01,5286.705,48.95629356,29.664,7.54,6.306666667,5.75,8.266666667,2.392033333,52.56666667
1975:02,5327.437,49.66659693,30.029,8.05,6.526666667,5.393333333,8.866666667,2.323833333,53.2
1975:03,5415.478,50.62277454,30.592,8.296666667,7.52,6.33,8.466666667,2.1274,54.26666667
1975:04,5488.489,50.86864878,31.105,8.063333333,6.68,5.626666667,8.3,2.042433333,55.26666667
1976:01,5612.427,53.35471056,31.448,7.753333333,5.976666667,4.916666667,7.733333333,1.9992,55.9
1976:02,5654.837,55.29438514,31.711,7.773333333,6.28,5.156666667,7.566666667,1.806066667,56.4
1976:03,5683.589,56.46911763,32.191,7.73,6.013333333,5.15,7.733333333,1.765,57.3
1976:04,5726.249,57.09746292,32.699,7.19,5.226666667,4.673333333,7.766666667,1.6514,58.13333333
1977:01,5792.875,57.75312756,33.285,7.353333333,5.42,4.63,7.5,1.713366667,59.2
1977:02,5906.568,57.69848884,33.855,7.37,5.693333333,4.84,7.133333333,1.718866667,60.23333333
1977:03,6011.064,57.61653076,34.366,7.356666667,6.28,5.496666667,6.9,1.735133333,61.06666667
1977:04,6011.695,58.43611157,34.858,7.596666667,6.96,6.11,6.666666667,1.8145,61.96666667
1978:01,6032.613,59.82939894,35.439,8.01,7.31,6.393333333,6.333333333,1.9268,63.03333333
1978:02,6267.163,60.78557655,36.169,8.32,7.786666667,6.476666667,6,1.835,64.46666667
1978:03,6328.452,62.17886392,36.806,8.49,8.446666667,7.313333333,6.033333333,1.931666667,65.96666667
1978:04,6413.33,63.27163833,37.501,8.82,9.816666667,8.57,5.9,1.9848,67.5
